Relationship,Text
targets,"<e1> Mustang Panda </e1> has targeted government entities,  <e2> nonprofits </e2>  religious, and other non-governmental organizations in the U."
originates-from,<e1> Mustang Panda </e1> is a  <e2> China </e2> based cyber espionage threat actor that was first observed in 2017 but may have been conducting operations since at least 2014.
targets,"<e1> SilverTerrier </e1> mainly targets organizations in high technology, higher education, and  <e2> manufacturing </e2>."
targets,"Security researchers assess  <e1> Moses Staff </e1> is politically motivated, and has targeted government, finance,  <e2> travel </e2>  energy, manufacturing, and utility companies outside of Israel as well, including those in Italy, India, Germany, Chile, Turkey, the UAE, and the US."
uses,"<e1> Group5 </e1> has used two commonly available remote access tools (RATs),  <e2> njRAT </e2> and NanoCore, as well as an Android RAT, DroidJack."
uses,"<e1> Group5 </e1> has used two commonly available remote access tools (RATs), njRAT and NanoCore, as well as an Android RAT,  <e2> DroidJack </e2>."
actived-on,"APT28 reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the  <e1> Democratic Congressional </e1> Campaign Committee in  <e2> 2016 </e2> in an attempt to interfere with the U."
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation,  <e1> biomedical </e1>  defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada, Europe, the  <e2> Middle East </e2>  and Southeast Asia."
actived-on,<e1> Ferocious Kitten </e1> is a threat group that has primarily targeted Persian-speaking individuals in Iran since at least  <e2> 2015 </e2>.
operated-on,"In July 2018, Azorult was seen used in a  <e1> spearphishing campaign </e1>  <e2> July 2018 </e2>  Azorult was seen used in a spearphishing campaign against targets in North America."
located-at,"Ke3chang has targeted oil, government, diplomatic,  <e1> military </e1>  and NGOs in Central and  <e2> South America </e2>  the Caribbean, Europe, and North America since at least 2010."
actived-on,"<e1> ZIRCONIUM </e1> is a threat group operating out of China, active since at least  <e2> 2017 </e2>  that has targeted individuals associated with the 2020 US presidential election and prominent leaders in the international affairs community."
uses,BISCUIT is a backdoor that has been used by  <e1> APT1 </e1>  <e2> BISCUIT </e2> is a backdoor that has been used by APT1 since as early as 2007.
compromises,"45 Indian Websites hacked By  <e1> Shadow008 </e1>  <e2> Indian Websites </e2> hacked By Shadow008One more Pakistani Hacker Shadow008 from ""Pakistan Cyber Army""defaces 45 Indian Websites as listed here."
actived-on,"<e1> Operation Ghost </e1> was an APT29 campaign starting in  <e2> 2013 </e2> that included operations against ministries of foreign affairs in Europe and the Washington, D."
uses,It attempts to do this by initiating a  <e1> wire transfer </e1> via  <e2> SMS message </e2> from compromised devices.
located-at,"Mustang Panda has targeted government entities, nonprofits, religious, and other  <e1> non-governmental organizations </e1> in the U. , Europe, Mongolia, Myanmar,  <e2> Pakistan </e2>  and Vietnam, among others."
located-at,"North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name  <e1> Lazarus Group </e1>  <e2> North Korean </e2> state-sponsored cyber activity under the name Lazarus Group instead of tracking clusters or subgroups."
targets,"<e1> APT37 </e1> is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan, Vietnam, Russia, Nepal, China,  <e2> India </e2>  Romania, Kuwait, and other parts of the Middle East."
targets,"In the past,  <e1> Ghost Shell </e1> is said to have unleashed online attacks on the  <e2> U. government </e2>  The group has criticized educational systems around the world and claimed that it leaked information in order to call attention to its cause."
targets,"Since at least 2017,  <e1> MuddyWater </e1> has targeted a range of government and private organizations across sectors, including telecommunications,  <e2> local government </e2>  defense, and oil and natural gas organizations, in the Middle East, Asia, Africa, Europe, and North America."
targets,"<e1> Fox Kitten </e1> has targeted multiple industrial verticals including  <e2> oil </e2> and gas, technology, government, defense, healthcare, manufacturing, and engineering."
associated-with,"info,"" "" <e1>. live </e1> "" "". xyz"" domains that were used as  <e2> command-and-control infrastructure </e2> to facilitate the spear-phishing campaign."
belongs-to,"By 2015, the Operation Dust Storm threat actors shifted from government and defense-related intelligence targets to Japanese companies or Japanese subdivisions of larger foreign organizations supporting Japan's  <e2> critical infrastructure </e2>  including  <e1> electricity generation </e1>  oil and natural gas, finance, transportation, and construction."
targets,"Since at least 2017,  <e1> MuddyWater </e1> has targeted a range of government and private organizations across sectors, including telecommunications, local government, defense, and oil and natural gas organizations, in the Middle East, Asia, Africa, Europe, and  <e2> North America </e2>."
uses,"<e1> Magniber </e1> s new infection chainIn previous campaign, the threat actor used MSI and EXE files. js <e2> SYSTEM. js </e2> Antivirus_Upgrade_Cloud."
targets,"<e1> Sidewinder </e1> is a suspected Indian threat actor group that has been active since at least 2012. They have been observed targeting government, military, and business entities throughout Asia, primarily focusing on Pakistan, China,  <e2> Nepal </e2>  and Afghanistan."
